query,doi,title,authors_first8,container,year,type,publisher,url,score
煤矿 经济评价 风险 净现值,10.69979/3029-2700.25.05.047,浅谈经济法在金融风险防范中的价值,,社会企业经济发展,2025,journal-article,Singapore Juzhi Journal Publishing PTE. Ltd.,https://doi.org/10.69979/3029-2700.25.05.047,64.89273
煤矿 经济评价 风险 净现值,10.64216/3080-1486.25.11.049,智能技术在企业内控风险评价中的应用现状与瓶颈,杨苏轩李德胜,社会经济导刊,2025,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1486.25.11.049,60.506596
煤矿 经济评价 风险 净现值,10.1360/csb1990-35-16-1253,淮南晚古生代煤田树皮残植煤的发现及其经济价值,陶成才,Chinese Science Bulletin,1990,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/csb1990-35-16-1253,58.072357
煤矿 经济评价 风险 净现值,10.37155/2811-0625-0415-53,煤矿机电安全风险评估方法与优化策略,李　云,现代工程项目管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0415-53,56.897102
煤矿 经济评价 风险 净现值,10.37155/3041-0819-0106-57,煤矿安全风险评估中大数据技术的应用研究,王　欣,现代建筑工程技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0819-0106-57,55.473335
煤矿 经济评价 风险 净现值,10.33142/mem.v4i4.10610,建筑施工企业增值税发票管理及风险防控分析,唐少学,现代经济管理,2023,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v4i4.10610,54.872894
煤矿 经济评价 风险 净现值,10.37155/2972-435x-0306-18,煤矿开采中现代煤矿机电的应用价值,田建平,工程施工与管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-435x-0306-18,54.834442
煤矿 经济评价 风险 净现值,10.64216/3080-1486.26.03.031,财务管理中的风险防控实操方法及价值创造实践研究,,社会经济导刊,2026,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1486.26.03.031,54.001244
煤矿 经济评价 风险 净现值,10.64216/3080-1486.25.08.004,冰雪企业风险韧性构建与财务价值共创机制研究,顾秋影葛琳,社会经济导刊,2025,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1486.25.08.004,53.893806
煤矿 经济评价 风险 净现值,10.33142/mem.v4i3.9999,论电力营销中电价与电费风险因素的控制路径,林德力,现代经济管理,2023,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v4i3.9999,53.7287
煤矿 经济评价 风险 净现值,10.33142/mem.v3i1.5811,BIM技术在工程造价成本预算风险管理中的应用,张莉娜,现代经济管理,2022,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v3i1.5811,53.47283
煤矿 经济评价 风险 净现值,10.33142/mem.v5i3.12827,市场化改革背景下供电企业电费电价风险控制分析,林薇,现代经济管理,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v5i3.12827,52.88471
煤矿 经济评价 风险 净现值,10.64216/3080-1486.26.04.035,供热资产评估风险控制研究,,社会经济导刊,2026,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1486.26.04.035,52.708267
煤矿 经济评价 风险 净现值,10.32629/ej.v2i1.81,现代财务观下的财务风险管理2p,蒙婷,经济学,2019,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/ej.v2i1.81,52.29107
煤矿 经济评价 风险 净现值,10.33142/aem.v6i10.14378,工程项目经济评价中不确定性分析与风险管理研究,赖毅; 袁莎,建筑工程与管理,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/aem.v6i10.14378,51.856274
煤矿 经济评价 风险 净现值,10.33142/mfm.v1i3.2561,探析煤矿经营管理中的精细化管理,王媛,现代经济管理,2020,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mfm.v1i3.2561,51.639305
煤矿 经济评价 风险 净现值,10.37155/2811-0609-0501-34,煤矿通风安全评价与优化,靳亚星,工程施工新技术,2026,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0501-34,51.625175
煤矿 经济评价 风险 净现值,10.33142/mem.v6i2.16143,建筑工程经济性评价指标体系优化路径研究,黄丽娜,现代经济管理,2025,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v6i2.16143,51.219696
煤矿 经济评价 风险 净现值,10.33142/mem.v5i3.12833,房地产公司风险管理,朱伟潮,现代经济管理,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/mem.v5i3.12833,51.173523
煤矿 覆岩破坏 导水裂隙带,10.32629/gmsm.v3i1.489,红会矿区小煤矿破坏区火灾隐患治理方案,赵立龙,地矿测绘,2020,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v3i1.489,50.13918
煤矿 覆岩破坏 导水裂隙带,10.1360/csb1993-38-9-826,岩盐水力压裂的变形破裂准则,阳友奎,Chinese Science Bulletin,1993,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/csb1993-38-9-826,41.58862
煤矿 覆岩破坏 导水裂隙带,10.1360/n072018-00184,岩石裂隙决定喀斯特关键带地表木本与草本植物覆盖,SophieM. GREEN; JeroenMEERSMANS; 戴景钰; 彭建; 刘鸿雁; 吴秀臣; 蒋子涵; 王红亚,SCIENTIA SINICA Terrae,2019,journal-article,"Science China Press., Co. Ltd.",https://doi.org/10.1360/n072018-00184,40.776184
煤矿 覆岩破坏 导水裂隙带,10.37155/2811-0595-0306-3,定向钻孔穿煤、穿岩（软岩及破碎带）成孔施工分析,张　浩,地质研究与环境保护,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0306-3,40.753952
煤矿 覆岩破坏 导水裂隙带,10.33142/ec.v3i9.2529,隧道基岩裂隙水及地下水的施工过程控制,王志永; 李培林,工程建设,2020,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v3i9.2529,40.290268
煤矿 采掘接续 优化,10.37155/2717-557x-0623-54,煤矿采矿过程中现代化采掘工艺与技术应用研究分析,张伟,城市建筑与发展,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-557x-0623-54,52.71433
煤矿 采掘接续 优化,10.69979/3029-2727.25.01.054,煤矿采掘机械自动化和智能化应用研究,,建筑技术与创新,2025,journal-article,Singapore Juzhi Journal Publishing PTE. Ltd.,https://doi.org/10.69979/3029-2727.25.01.054,51.33198
煤矿 采掘接续 优化,10.37155/2811-0609-0405-68,煤矿采掘机械自动化和智能化应用研究,李国超,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0405-68,50.332134
煤矿 采掘接续 优化,10.33142/aem.v3i1.3643,煤矿综掘智能化开采技术研究,汪华然,建筑工程与管理,2021,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/aem.v3i1.3643,50.320786
煤矿 采掘接续 优化,10.37155/2811-0609-0422-64,煤矿采掘机械自动化和智能化应用研究,苏占飞,工程施工新技术,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0422-64,50.169983
煤矿 采掘接续 优化,10.61369/era.5765,煤矿掘进技术优化与安全生产研究,徐超,Engineering Research and Application,2024,journal-article,Art and Design Press,https://doi.org/10.61369/era.5765,49.627823
煤矿 采掘接续 优化,10.37155/2811-0595-0207-11,煤矿采掘机械自动化和智能化应用研究,王国顺,地质研究与环境保护,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0207-11,49.11235
煤矿 采掘接续 优化,10.33142/ec.v5i10.7008,煤矿采掘中应用智能机械化技术的研究分析,施锦辉,工程建设,2022,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v5i10.7008,48.79801
煤矿 采掘接续 优化,10.32629/gmsm.v2i6.403,浅析煤矿采掘引起粉尘污染与防治策略,丁海龙,地矿测绘,2019,journal-article,Frontier Scientific Publishing Pte Ltd,https://doi.org/10.32629/gmsm.v2i6.403,47.966362
煤矿 巷道布置 采区 优化,10.33142/ec.v7i11.14237,煤矿采矿工程巷道支护技术的应用研究,王培花,工程建设,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v7i11.14237,57.07743
煤矿 巷道布置 采区 优化,10.36012/etr.v1i2.279,煤矿采矿工程巷道掘进和支护应用研究,高峰,工程技术研究,2019,journal-article,Encyclopaedic Publishing Pte Ltd,https://doi.org/10.36012/etr.v1i2.279,56.664623
煤矿 巷道布置 采区 优化,10.37155/2811-0625-0412-70,煤矿巷道支护技术的研究与优化,白少锋; 周　旭,现代工程项目管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0412-70,56.40123
煤矿 巷道布置 采区 优化,10.37155/2717-5189-0713-48,煤矿采矿工程巷道掘进和支护技术,吕传桂,工程管理与技术探讨,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0713-48,55.914238
煤矿 巷道布置 采区 优化,10.37155/2717-5197-0717-18,煤矿掘进巷道支护技术优化与应用研究,陈爱喜,机械与电子控制工程,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5197-0717-18,55.651707
煤矿 巷道布置 采区 优化,10.37155/2811-0625-0422-74,煤矿采矿工程巷道掘进和支护应用研究,曾　东,现代工程项目管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0422-74,55.563583
煤矿 巷道布置 采区 优化,10.37155/3041-0827-0112-68,煤矿采矿工程巷道掘进与支护技术研究,李　鹏,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0112-68,54.570793
煤矿 巷道布置 采区 优化,10.37155/2811-0595-0205-47,煤矿采矿工程巷道掘进与支护技术措施,成张,地质研究与环境保护,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0205-47,54.372707
煤矿 巷道布置 采区 优化,10.36012/etr.v2i9.2691,煤矿采矿工程巷道掘进和支护应用研究,石永光; 刘文利; 莘勇刚,工程技术研究,2020,journal-article,Encyclopaedic Publishing Pte Ltd,https://doi.org/10.36012/etr.v2i9.2691,54.303444
煤矿 巷道布置 采区 优化,10.37155/2972-435x-0211-3,井工三矿特厚煤层大断面巷道掘进空顶距优化研究,高志超,工程施工与管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-435x-0211-3,53.993736
煤矿 巷道布置 采区 优化,10.37155/2811-0595-0310-37,煤矿采矿工程巷道支护技术的应用研究,永李,地质研究与环境保护,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0595-0310-37,53.81703
煤矿 巷道布置 采区 优化,10.37155/3041-0827-0104-49,煤矿采矿工程巷道掘进和支护技术探析,王令超,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0104-49,53.762657
煤矿 巷道布置 采区 优化,10.37155/2972-4333-0310-18,煤矿采矿工程巷道掘进和支护应用研究,王虎成,工程技术创新与发展,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-4333-0310-18,53.500355
